ID,MRN,Name,BirthDate,Sex,Age,Phone,Email,Address,InsuranceNo,Allergies,MedicalHistoryCount
85,MRN20250085,임영수,1967-07-25,M,58,018-2173-1263,임영수617@hanmail.net,"울산광역시 도봉구 서초대로 84번길 25호",1847317533,"",2
86,MRN20250086,황민경,1988-12-23,F,37,011-5227-6065,황민경902@yahoo.com,"인천광역시 관악구 봉은사로 175번길 87호",8162999029,"",5
87,MRN20250087,고민미,1965-06-01,F,60,018-9132-2719,고민미344@yahoo.com,"인천광역시 강남구 논현로 175번길 85호",8129170472,"",5
88,MRN20250088,정영수,1966-05-13,F,59,018-6911-6959,정영수908@hanmail.net,"광주광역시 강동구 반포대로 50번길 55호",4531529673,"페니실린;아스피린",5
89,MRN20250089,윤순수,1997-09-27,F,28,010-8803-1229,윤순수576@daum.net,"울산광역시 강북구 강남대로 141번길 91호",8025805881,"",3
90,MRN20250090,전민희,1985-01-11,F,40,017-4988-4331,전민희195@daum.net,"인천광역시 관악구 테헤란로 68번길 45호",6743863273,"에리트로마이신;페니실린",1
91,MRN20250091,안현민,2001-05-10,M,24,011-3739-3961,안현민2@hanmail.net,"인천광역시 관악구 서초대로 66번길 63호",5992938467,"아스피린",3
92,MRN20250092,강동현,1950-01-11,M,75,010-7127-4019,강동현353@naver.com,"광주광역시 강서구 논현로 138번길 18호",3967048510,"",3
93,MRN20250093,권성민,1980-09-08,M,45,016-6196-5560,권성민575@gmail.com,"대구광역시 강서구 테헤란로 47번길 20호",4357194925,"세파클로르;에리트로마이신",4
94,MRN20250094,오준수,1953-07-26,M,72,019-3952-6227,오준수123@yahoo.com,"대전광역시 금천구 논현로 33번길 54호",4870442523,"",2
95,MRN20250095,전영경,1954-09-11,F,71,017-1566-1026,전영경569@yahoo.com,"광주광역시 강남구 강남대로 141번길 43호",9411075049,"",5
96,MRN20250096,오동호,1975-01-09,M,50,016-9891-5957,오동호552@naver.com,"대전광역시 강북구 강남대로 177번길 42호",3194044111,"세파클로르",2
97,MRN20250097,최민호,2000-04-14,M,25,010-9570-4869,최민호75@gmail.com,"대구광역시 도봉구 강남대로 23번길 10호",4367897448,"아스피린",1
98,MRN20250098,한민숙,1987-12-12,F,38,017-9139-1205,한민숙34@naver.com,"광주광역시 강동구 반포대로 47번길 72호",8476648095,"",4
99,MRN20250099,고정미,2007-08-10,F,18,011-4618-6875,고정미575@naver.com,"인천광역시 광진구 서초대로 58번길 1호",6327580231,"",4
100,MRN20250100,강철민,1968-02-12,M,57,016-2863-6238,강철민349@daum.net,"인천광역시 강서구 테헤란로 68번길 38호",3396720885,"",3
